GEO.id2,Under_5_years_Estimates
80002,1096
80003,2587
80004,2106
80005,1616
80007,799
80010,3798
80011,4225
80012,3744
80013,4740
80014,1733
80015,4071
80016,3271
80017,3129
80018,1088
80019,398
80020,3057
80021,1757
80022,4766
80023,1105
80024,24
80025,0
80026,1669
80027,1743
80030,917
80031,2386
80033,1286
80045,37
80101,39
80102,240
80103,106
80104,2042
80105,59
80106,308
80107,568
80108,1490
80109,1745
80110,1461
80111,1605
80112,1854
80113,1411
80116,141
80117,123
80118,276
80120,1486
80121,948
80122,1661
80123,2377
80124,1061
80125,565
80126,2644
80127,2130
80128,2180
80129,1439
80130,1960
80131,6
80132,959
80133,211
80134,4683
80135,157
80136,278
80137,0
80138,1536
80202,147
80203,236
80204,2877
80205,1841
80206,999
80207,2279
80209,1205
80210,2048
80211,2073
80212,1121
80214,1464
80215,1072
80216,832
80218,635
80219,5533
80220,2555
80221,2091
80222,1530
80223,1351
80224,1139
80226,1536
80227,1817
80228,1930
80229,4857
80230,418
80231,2697
80232,1109
80233,3597
80234,1838
80235,431
80236,1583
80237,834
80238,2307
80239,3428
80241,2283
80246,570
80247,2088
80249,2468
80260,3094
80264,0
80290,0
80293,0
80294,0
80301,854
80302,616
80303,654
80304,1539
80305,764
80310,0
80401,1852
80403,937
80419,0
80420,47
80421,365
80422,206
80423,0
80424,225
80425,2
80426,5
80427,49
80428,32
80432,48
80433,379
80434,0
80435,573
80436,0
80438,13
80439,810
80440,94
80442,119
80443,124
80444,30
80446,234
80447,12
80448,0
80449,11
80451,35
80452,170
80453,0
80454,86
80455,33
80456,8
80457,0
80459,148
80461,363
80463,5
80465,695
80466,132
80467,121
80468,0
80469,0
80470,111
80471,0
80473,0
80475,0
80476,11
80477,0
80478,27
80479,0
80480,89
80481,6
80482,6
80483,56
80487,702
80488,0
80497,37
80498,333
80501,2994
80503,1546
80504,3598
80510,8
80511,0
80512,38
80513,654
80514,359
80515,10
80516,2120
80517,376
80520,79
80521,1302
80524,2268
80525,2948
80526,2586
80528,1255
80530,392
80532,0
80534,1414
80535,99
80536,28
80537,2424
80538,2141
80540,212
80542,447
80543,470
80544,0
80545,0
80546,7
80547,225
80549,1009
80550,1894
80601,2359
80602,2520
80603,1094
80610,280
80611,50
80612,13
80615,560
80620,1569
80621,849
80622,0
80623,91
80624,80
80631,4165
80634,3479
80640,1161
80642,217
80643,191
80644,204
80645,325
80648,103
80649,11
80650,68
80651,172
80652,23
80653,37
80654,190
80701,805
80705,66
80720,168
80721,0
80722,61
80723,871
80726,4
80727,35
80728,82
80729,13
80731,87
80733,34
80734,230
80735,46
80736,25
80737,139
80740,3
80741,42
80742,7
80743,31
80744,14
80745,1
80746,0
80747,12
80749,16
80750,26
80751,1420
80754,4
80755,33
80757,25
80758,262
80759,314
80801,2
80802,17
80804,25
80805,16
80807,360
80808,411
80809,30
80810,121
80812,0
80813,145
80814,75
80815,37
80816,223
80817,3114
80818,0
80819,10
80820,13
80821,107
80822,0
80823,27
80824,20
80825,47
80827,6
80828,107
80829,199
80830,0
80831,1113
80832,75
80833,32
80834,9
80835,73
80836,99
80840,191
80860,8
80861,7
80862,4
80863,477
80864,52
80902,1974
80903,560
80904,694
80905,1211
80906,2045
80907,1053
80908,934
80909,2661
80910,2335
80911,2423
80913,35
80914,6
80915,1296
80916,4625
80917,1791
80918,2802
80919,1423
80920,2627
80921,1409
80922,2301
80923,2537
80924,502
80925,1111
80926,78
80927,283
80928,131
80929,0
80930,403
80938,31
80939,0
80951,663
81001,2426
81003,638
81004,1761
81005,1718
81006,524
81007,1579
81008,709
81019,92
81020,13
81021,6
81022,114
81023,39
81024,0
81025,53
81027,0
81029,10
81030,8
81033,2
81036,97
81038,0
81039,103
81040,0
81041,60
81043,0
81044,17
81045,0
81047,150
81049,10
81050,551
81052,561
81054,159
81055,23
81057,29
81058,37
81059,0
81062,57
81063,74
81064,8
81067,358
81069,50
81071,45
81073,105
81076,52
81077,62
81081,0
81082,596
81084,0
81087,12
81089,33
81090,55
81091,14
81092,51
81101,1022
81120,111
81121,13
81122,478
81123,94
81124,0
81125,283
81126,0
81128,39
81129,15
81130,13
81131,42
81132,104
81133,43
81136,6
81137,391
81138,0
81140,205
81141,93
81143,19
81144,523
81146,75
81147,562
81148,22
81149,26
81151,145
81152,28
81154,39
81155,2
81201,343
81210,0
81211,217
81212,1220
81220,0
81221,31
81222,8
81223,0
81224,330
81225,11
81226,207
81227,0
81230,387
81231,0
81232,0
81233,38
81235,29
81236,66
81237,0
81239,0
81240,236
81241,0
81242,51
81243,0
81244,29
81248,0
81251,0
81252,138
81253,0
81301,1459
81303,416
81320,0
81321,865
81323,212
81324,60
81325,0
81326,86
81327,12
81328,239
81330,0
81331,52
81332,3
81334,190
81335,0
81401,1294
81403,533
81410,65
81411,0
81413,124
81415,64
81416,902
81418,84
81419,157
81422,38
81423,138
81424,9
81425,410
81426,2
81427,41
81428,151
81429,0
81430,3
81431,5
81432,83
81433,26
81434,0
81435,199
81501,1613
81503,1188
81504,2021
81505,415
81506,615
81507,585
81520,867
81521,681
81522,0
81523,62
81524,157
81525,126
81526,230
81527,80
81601,994
81610,31
81611,419
81612,0
81615,0
81620,946
81621,298
81623,1095
81624,90
81625,750
81630,78
81631,571
81632,536
81633,0
81635,518
81637,606
81638,23
81639,116
81640,0
81641,189
81642,0
81643,23
81645,23
81646,12
81647,568
81648,194
81649,17
81650,772
81652,425
81653,0
81654,131
81655,28
81656,0
81657,111
